customer_id,customer_code,customer_name,region_id,signup_date,account_status
38,CUST00038,Rahul Nair,4,2026-07-08,ACTIVE
39,CUST00039,Nandini Bose,1,2026-02-26,ACTIVE
40,CUST00040,Rahul Nair,2,2025-10-10,INACTIVE
41,CUST00041,Kavya Mishra,4,2026-05-04,ACTIVE
42,CUST00042,Rohan Nair,1,2026-06-07,ACTIVE
43,CUST00043,Sai Kulkarni,3,2025-01-18,ACTIVE
44,CUST00044,Riya Nair,2,2025-03-09,ACTIVE
45,CUST00045,Aditi Reddy,1,2025-07-17,ACTIVE
46,CUST00046,Rohan Verma,1,2026-06-19,ACTIVE
47,CUST00047,Riya Menon,4,2025-04-29,ACTIVE
48,CUST00048,Diya Sharma,4,2025-03-08,ACTIVE
49,CUST00049,Kavya Rao,2,2026-05-03,ACTIVE
50,CUST00050,Kavya Sharma,2,2025-06-12,ACTIVE
51,CUST00051,Rahul Naidu,1,2026-03-25,ACTIVE
52,CUST00052,Diya Rao,3,2025-05-27,ACTIVE
53,CUST00053,Priya Bose,1,2025-03-26,ACTIVE
54,CUST00054,Aarav Singh,1,2025-12-05,ACTIVE
55,CUST00055,Arjun Kapoor,2,2025-10-06,ACTIVE
56,CUST00056,Diya Das,3,2025-02-16,ACTIVE
57,CUST00057,Ishita Rao,1,2025-12-10,ACTIVE
58,CUST00058,Diya Sharma,2,2026-04-09,ACTIVE
59,CUST00059,Aditi Rao,2,2026-05-02,ACTIVE
60,CUST00060,Kavya Menon,4,2025-06-11,INACTIVE
61,CUST00061,Aditya Naidu,3,2025-01-30,ACTIVE
62,CUST00062,Rohan Singh,3,2025-04-12,ACTIVE
63,CUST00063,Nandini Kulkarni,4,2025-12-05,INACTIVE
64,CUST00064,Priya Iyer,2,2025-06-03,ACTIVE
65,CUST00065,Varun Joshi,3,2025-12-27,CLOSED
66,CUST00066,Ananya Chauhan,2,2026-06-04,ACTIVE
67,CUST00067,Ananya Patel,3,2025-04-28,ACTIVE
68,CUST00068,Diya Gupta,2,2025-10-26,ACTIVE
69,CUST00069,Nandini Gupta,1,2025-02-27,SUSPENDED
70,CUST00070,Aditi Joshi,2,2025-08-30,ACTIVE
71,CUST00071,Diya Kulkarni,2,2025-05-28,ACTIVE
72,CUST00072,Aarav Naidu,3,2025-06-20,ACTIVE
73,CUST00073,Vivaan Joshi,4,2025-04-03,ACTIVE
74,CUST00074,Aditya Reddy,3,2025-03-14,CLOSED
75,CUST00075,Karthik Kumar,1,2025-04-11,ACTIVE
76,CUST00076,Rohan Bose,1,2025-09-20,ACTIVE
77,CUST00077,Aditya Naidu,1,2026-06-13,CLOSED
78,CUST00078,Rohan Naidu,3,2025-08-21,ACTIVE
79,CUST00079,Rahul Verma,2,2026-03-14,ACTIVE
80,CUST00080,Aditi Gupta,4,2026-07-27,CLOSED
81,CUST00081,Diya Chauhan,3,2025-09-27,ACTIVE
82,CUST00082,Nandini Sharma,1,2025-06-16,ACTIVE
83,CUST00083,Priya Kapoor,2,2026-05-07,SUSPENDED
84,CUST00084,Kavya Mishra,3,2025-06-03,ACTIVE
85,CUST00085,Arjun Das,3,2025-06-25,ACTIVE
86,CUST00086,Sai Nair,1,2025-12-02,ACTIVE
87,CUST00087,Priya Naidu,1,2026-03-04,ACTIVE
88,CUST00088,Ananya Naidu,2,2026-01-07,ACTIVE
89,CUST00089,Sneha Kulkarni,3,2026-07-26,ACTIVE
90,CUST00090,Aditya Kumar,4,2025-03-20,INACTIVE
91,CUST00091,Rahul Mehta,4,2026-01-27,ACTIVE
92,CUST00092,Aditya Joshi,2,2026-04-14,ACTIVE
93,CUST00093,Sai Patel,3,2026-01-08,ACTIVE
94,CUST00094,Riya Naidu,4,2026-03-25,ACTIVE
95,CUST00095,Aditi Bose,4,2026-07-11,INACTIVE
96,CUST00096,Ishita Kulkarni,2,2025-09-25,ACTIVE
97,CUST00097,Arjun Kapoor,1,2025-09-06,ACTIVE
98,CUST00098,Riya Joshi,4,2025-09-28,ACTIVE
99,CUST00099,Vivaan Das,2,2025-10-16,ACTIVE
100,CUST00100,Rohan Nair,3,2025-08-27,ACTIVE
101,CUST00101,Rohan Patel,1,2025-05-04,ACTIVE
102,CUST00102,Ananya Nair,3,2025-04-11,INACTIVE
103,CUST00103,Rahul Mishra,1,2025-06-09,ACTIVE
104,CUST00104,Karthik Kapoor,2,2025-12-26,ACTIVE
105,CUST00105,Diya Naidu,2,2025-03-18,ACTIVE
106,CUST00106,Ishita Chauhan,3,2026-07-08,ACTIVE
107,CUST00107,Ishita Kumar,4,2026-07-21,ACTIVE
108,CUST00108,Riya Das,4,2025-07-02,ACTIVE
109,CUST00109,Arjun Singh,4,2025-04-03,INACTIVE
110,CUST00110,Rohan Naidu,2,2026-01-03,CLOSED
111,CUST00111,Ananya Singh,4,2026-06-27,ACTIVE
112,CUST00112,Sneha Joshi,2,2025-08-23,ACTIVE
113,CUST00113,Karthik Naidu,4,2025-12-06,ACTIVE
114,CUST00114,Ananya Sharma,3,2025-08-19,ACTIVE
115,CUST00115,Nandini Rao,3,2025-04-19,ACTIVE
116,CUST00116,Riya Kulkarni,1,2026-02-26,ACTIVE
117,CUST00117,Ishita Kumar,1,2026-01-27,ACTIVE
118,CUST00118,Sai Singh,2,2026-07-12,ACTIVE
119,CUST00119,Varun Kulkarni,3,2026-06-28,ACTIVE
120,CUST00120,Kavya Mishra,4,2026-07-27,ACTIVE
121,CUST00121,Sneha Kumar,3,2025-02-10,SUSPENDED
122,CUST00122,Sai Joshi,2,2025-08-31,ACTIVE
123,CUST00123,Rohan Patel,4,2026-03-14,ACTIVE
124,CUST00124,Diya Mehta,3,2026-07-30,INACTIVE
125,CUST00125,Sai Joshi,4,2025-12-07,ACTIVE
126,CUST00126,Aditi Naidu,2,2026-05-15,ACTIVE
127,CUST00127,Nandini Naidu,2,2026-02-19,ACTIVE
128,CUST00128,Meera Nair,4,2026-02-27,ACTIVE
129,CUST00129,Ishita Rao,2,2025-05-22,ACTIVE
130,CUST00130,Aditi Das,4,2026-03-04,INACTIVE
131,CUST00131,Ishita Kumar,1,2025-12-07,INACTIVE
132,CUST00132,Ananya Gupta,4,2026-05-17,ACTIVE
133,CUST00133,Sneha Singh,2,2025-11-27,ACTIVE
134,CUST00134,Rohan Singh,3,2026-06-22,ACTIVE
135,CUST00135,Nikhil Bose,2,2025-02-06,INACTIVE
136,CUST00136,Aditya Joshi,2,2025-11-02,SUSPENDED
137,CUST00137,Aditi Mishra,2,2025-02-25,ACTIVE
138,CUST00138,Diya Menon,1,2025-02-03,ACTIVE
139,CUST00139,Kavya Chauhan,3,2026-05-10,ACTIVE
140,CUST00140,Karthik Bose,3,2025-08-03,ACTIVE
141,CUST00141,Karthik Kumar,2,2025-12-26,ACTIVE
142,CUST00142,Ananya Joshi,4,2026-06-24,INACTIVE
143,CUST00143,Kavya Naidu,3,2026-02-19,ACTIVE
144,CUST00144,Ananya Rao,1,2025-03-01,ACTIVE
145,CUST00145,Sai Chauhan,1,2025-06-27,INACTIVE
146,CUST00146,Sneha Kapoor,2,2025-03-27,ACTIVE
147,CUST00147,Karthik Naidu,2,2026-04-19,CLOSED
148,CUST00148,Karthik Verma,2,2026-06-14,ACTIVE
149,CUST00149,Ishita Patel,2,2026-08-07,ACTIVE
150,CUST00150,Varun Reddy,2,2025-09-07,SUSPENDED
151,CUST00151,Ananya Kapoor,4,2026-04-27,ACTIVE
152,CUST00152,Meera Bose,1,2025-09-20,SUSPENDED
153,CUST00153,Priya Das,3,2026-06-22,ACTIVE
154,CUST00154,Riya Das,1,2025-03-14,ACTIVE
155,CUST00155,Nikhil Chauhan,2,2025-12-06,SUSPENDED
156,CUST00156,Meera Mishra,1,2026-03-12,INACTIVE
157,CUST00157,Rahul Joshi,3,2026-08-14,ACTIVE
158,CUST00158,Karthik Mehta,2,2025-07-31,ACTIVE
159,CUST00159,Riya Patel,2,2026-08-09,ACTIVE
160,CUST00160,Varun Naidu,1,2026-05-03,ACTIVE
161,CUST00161,Sneha Naidu,2,2026-05-07,ACTIVE
162,CUST00162,Ananya Menon,2,2025-12-21,ACTIVE
163,CUST00163,Rahul Singh,4,2025-12-08,ACTIVE
164,CUST00164,Vivaan Singh,2,2025-11-22,ACTIVE
165,CUST00165,Aditi Joshi,1,2025-11-03,ACTIVE
166,CUST00166,Ishita Bose,3,2026-06-15,ACTIVE
167,CUST00167,Ishita Das,2,2026-01-17,SUSPENDED
168,CUST00168,Sai Joshi,3,2025-02-02,ACTIVE
169,CUST00169,Priya Das,2,2026-06-08,INACTIVE
170,CUST00170,Nikhil Patel,4,2025-09-18,INACTIVE
171,CUST00171,Arjun Singh,3,2026-05-20,ACTIVE
172,CUST00172,Varun Nair,2,2025-07-06,ACTIVE
173,CUST00173,Aditi Kulkarni,3,2026-01-15,ACTIVE
174,CUST00174,Sneha Kumar,2,2026-06-22,ACTIVE
175,CUST00175,Rohan Mishra,2,2025-11-15,INACTIVE
176,CUST00176,Karthik Joshi,1,2025-02-10,INACTIVE
177,CUST00177,Rahul Kulkarni,4,2025-03-21,ACTIVE
178,CUST00178,Nikhil Kumar,2,2026-05-11,ACTIVE
179,CUST00179,Aditi Mehta,2,2026-02-06,INACTIVE
180,CUST00180,Nikhil Patel,1,2026-02-06,ACTIVE
181,CUST00181,Priya Kulkarni,4,2026-07-28,INACTIVE
182,CUST00182,Karthik Reddy,1,2025-09-07,ACTIVE
183,CUST00183,Vivaan Verma,2,2025-02-02,ACTIVE
184,CUST00184,Diya Bose,3,2025-08-01,ACTIVE
185,CUST00185,Meera Chauhan,2,2025-10-27,ACTIVE
186,CUST00186,Sneha Singh,3,2025-03-31,ACTIVE
187,CUST00187,Nandini Patel,3,2025-08-19,ACTIVE
188,CUST00188,Vivaan Gupta,2,2026-03-11,ACTIVE
189,CUST00189,Sneha Chauhan,4,2025-07-31,ACTIVE
190,CUST00190,Ananya Singh,2,2025-07-14,SUSPENDED
191,CUST00191,Ishita Bose,3,2025-12-18,ACTIVE
192,CUST00192,Arjun Verma,2,2025-01-11,ACTIVE
193,CUST00193,Riya Verma,4,2025-03-24,ACTIVE
194,CUST00194,Rahul Mishra,4,2025-11-22,ACTIVE
195,CUST00195,Priya Nair,2,2025-01-20,ACTIVE
196,CUST00196,Nandini Kapoor,1,2025-06-28,ACTIVE
197,CUST00197,Karthik Kapoor,1,2026-06-16,ACTIVE
198,CUST00198,Kavya Chauhan,2,2025-08-09,ACTIVE
199,CUST00199,Priya Reddy,3,2025-10-26,SUSPENDED
200,CUST00200,Nandini Gupta,1,2025-12-19,SUSPENDED
201,CUST00201,Aditya Verma,2,2026-03-10,ACTIVE
202,CUST00202,Riya Iyer,4,2026-03-16,ACTIVE
203,CUST00203,Vivaan Chauhan,4,2026-05-28,ACTIVE
204,CUST00204,Ishita Mehta,2,2026-04-29,ACTIVE
205,CUST00205,Karthik Naidu,2,2026-08-06,ACTIVE
206,CUST00206,Rohan Naidu,3,2025-10-02,ACTIVE
207,CUST00207,Diya Bose,3,2026-01-21,ACTIVE
208,CUST00208,Arjun Gupta,1,2025-03-12,ACTIVE
209,CUST00209,Aditya Mishra,3,2025-10-29,ACTIVE
210,CUST00210,Vivaan Kumar,4,2025-01-08,ACTIVE
211,CUST00211,Vivaan Sharma,2,2025-10-24,ACTIVE
212,CUST00212,Arjun Patel,1,2026-04-19,ACTIVE
213,CUST00213,Ishita Bose,4,2026-05-19,ACTIVE
214,CUST00214,Riya Rao,4,2026-03-12,ACTIVE
215,CUST00215,Ananya Kumar,3,2025-03-05,ACTIVE
216,CUST00216,Ananya Chauhan,4,2025-03-31,ACTIVE
217,CUST00217,Meera Patel,2,2026-04-05,ACTIVE
218,CUST00218,Varun Sharma,1,2025-08-08,ACTIVE
219,CUST00219,Aarav Bose,2,2026-07-11,ACTIVE
220,CUST00220,Rahul Gupta,2,2026-03-21,ACTIVE
221,CUST00221,Aditya Mishra,3,2025-04-26,ACTIVE
222,CUST00222,Riya Menon,4,2026-07-30,ACTIVE
223,CUST00223,Kavya Gupta,2,2025-01-24,ACTIVE
224,CUST00224,Rohan Naidu,2,2025-12-11,ACTIVE
225,CUST00225,Aditya Mishra,3,2026-03-04,ACTIVE
226,CUST00226,Meera Das,2,2026-05-12,ACTIVE
227,CUST00227,Riya Rao,1,2026-06-15,ACTIVE
228,CUST00228,Ishita Joshi,2,2026-02-17,ACTIVE
229,CUST00229,Nandini Das,1,2025-12-12,ACTIVE
230,CUST00230,Vivaan Kulkarni,1,2025-02-12,ACTIVE
231,CUST00231,Kavya Mishra,1,2025-12-25,ACTIVE
232,CUST00232,Aditya Rao,2,2025-05-05,ACTIVE
233,CUST00233,Nandini Reddy,1,2025-01-19,CLOSED
234,CUST00234,Aditya Kapoor,1,2025-04-15,SUSPENDED
235,CUST00235,Aarav Nair,4,2025-04-14,ACTIVE
236,CUST00236,Varun Chauhan,3,2025-06-20,ACTIVE
237,CUST00237,Diya Joshi,2,2026-04-13,ACTIVE
238,CUST00238,Nandini Verma,2,2025-09-02,ACTIVE
239,CUST00239,Varun Chauhan,3,2025-12-26,ACTIVE
240,CUST00240,Rahul Reddy,4,2025-11-01,ACTIVE
241,CUST00241,Aditi Verma,4,2025-01-17,ACTIVE
242,CUST00242,Nandini Bose,3,2026-05-10,CLOSED
243,CUST00243,Diya Sharma,3,2025-05-13,INACTIVE
244,CUST00244,Vivaan Gupta,3,2026-06-05,ACTIVE
245,CUST00245,Nandini Kulkarni,4,2026-07-16,ACTIVE
246,CUST00246,Aditya Patel,1,2026-07-12,ACTIVE
247,CUST00247,Nikhil Kumar,1,2025-10-16,ACTIVE
248,CUST00248,Priya Reddy,4,2025-02-22,ACTIVE
249,CUST00249,Nandini Joshi,3,2025-11-03,ACTIVE
250,CUST00250,Ishita Kumar,2,2026-07-08,ACTIVE
251,CUST00251,Diya Menon,4,2025-11-21,ACTIVE
252,CUST00252,Vivaan Gupta,4,2025-12-30,ACTIVE
253,CUST00253,Riya Sharma,1,2026-04-25,ACTIVE
254,CUST00254,Sneha Mehta,3,2026-05-27,ACTIVE
255,CUST00255,Vivaan Nair,3,2025-08-18,SUSPENDED
256,CUST00256,Priya Chauhan,4,2026-08-05,ACTIVE
257,CUST00257,Riya Kulkarni,2,2026-08-12,ACTIVE
258,CUST00258,Arjun Das,1,2026-02-21,ACTIVE
259,CUST00259,Ishita Rao,3,2025-12-03,ACTIVE
260,CUST00260,Sneha Reddy,3,2025-11-26,ACTIVE
261,CUST00261,Aditi Gupta,1,2026-05-17,ACTIVE
262,CUST00262,Ishita Mehta,4,2025-11-22,ACTIVE
263,CUST00263,Nandini Mehta,2,2025-05-27,ACTIVE
264,CUST00264,Ananya Das,2,2025-07-13,ACTIVE
265,CUST00265,Ananya Rao,2,2025-08-13,SUSPENDED
266,CUST00266,Ananya Kumar,1,2025-09-13,ACTIVE
267,CUST00267,Ananya Nair,3,2025-11-25,ACTIVE
268,CUST00268,Nandini Chauhan,1,2026-04-17,ACTIVE
269,CUST00269,Priya Patel,4,2026-03-30,SUSPENDED
270,CUST00270,Varun Reddy,2,2026-02-10,ACTIVE
271,CUST00271,Priya Rao,2,2025-03-07,CLOSED
272,CUST00272,Kavya Kapoor,2,2025-06-08,INACTIVE
273,CUST00273,Ananya Iyer,4,2025-07-04,ACTIVE
274,CUST00274,Meera Singh,3,2026-01-27,INACTIVE
275,CUST00275,Arjun Verma,2,2025-08-07,ACTIVE
276,CUST00276,Rohan Kapoor,2,2026-02-04,ACTIVE
277,CUST00277,Rahul Sharma,4,2025-02-10,ACTIVE
278,CUST00278,Vivaan Iyer,2,2025-01-23,ACTIVE
279,CUST00279,Aditya Menon,2,2025-03-25,SUSPENDED
280,CUST00280,Aditya Rao,3,2025-07-05,ACTIVE
281,CUST00281,Rahul Singh,4,2025-06-21,ACTIVE
282,CUST00282,Ishita Kapoor,2,2026-01-31,ACTIVE
283,CUST00283,Meera Mehta,2,2025-10-26,ACTIVE
284,CUST00284,Aarav Singh,4,2025-12-23,ACTIVE
285,CUST00285,Meera Bose,4,2025-07-30,ACTIVE
286,CUST00286,Diya Reddy,1,2025-06-03,ACTIVE
287,CUST00287,Sai Joshi,2,2025-05-18,ACTIVE
288,CUST00288,Sai Naidu,3,2026-08-02,INACTIVE
289,CUST00289,Karthik Kumar,2,2025-07-18,ACTIVE
290,CUST00290,Aditya Chauhan,4,2025-05-16,ACTIVE
291,CUST00291,Ananya Reddy,4,2025-11-02,ACTIVE
292,CUST00292,Meera Nair,3,2025-04-15,INACTIVE
293,CUST00293,Aarav Kapoor,1,2025-09-04,ACTIVE
294,CUST00294,Ishita Mehta,2,2026-01-23,ACTIVE
295,CUST00295,Ishita Rao,2,2025-09-09,ACTIVE
296,CUST00296,Riya Joshi,1,2025-05-27,ACTIVE
297,CUST00297,Rahul Rao,1,2026-02-01,ACTIVE
298,CUST00298,Sai Verma,4,2025-12-20,ACTIVE
299,CUST00299,Nikhil Nair,1,2025-05-20,INACTIVE
300,CUST00300,Karthik Nair,1,2026-07-26,ACTIVE
301,CUST00301,Aarav Das,1,2025-08-26,ACTIVE
302,CUST00302,Priya Das,2,2025-03-20,ACTIVE
303,CUST00303,Riya Kapoor,2,2026-02-11,ACTIVE
304,CUST00304,Arjun Verma,1,2025-08-01,ACTIVE
305,CUST00305,Sneha Kapoor,1,2025-02-19,ACTIVE
306,CUST00306,Vivaan Kulkarni,2,2025-04-24,ACTIVE
307,CUST00307,Priya Chauhan,1,2025-11-17,INACTIVE
308,CUST00308,Vivaan Verma,2,2025-01-29,INACTIVE
309,CUST00309,Aditi Sharma,3,2025-07-06,ACTIVE
310,CUST00310,Sai Menon,1,2025-09-13,INACTIVE
311,CUST00311,Ishita Sharma,4,2025-03-23,ACTIVE
312,CUST00312,Varun Naidu,1,2025-01-30,ACTIVE
313,CUST00313,Vivaan Verma,2,2026-03-06,ACTIVE
314,CUST00314,Ishita Nair,2,2025-09-26,ACTIVE
315,CUST00315,Vivaan Chauhan,1,2026-03-19,ACTIVE
316,CUST00316,Priya Kapoor,1,2026-06-02,INACTIVE
317,CUST00317,Aarav Mehta,2,2025-07-29,ACTIVE
318,CUST00318,Ishita Patel,1,2026-02-07,INACTIVE
319,CUST00319,Nikhil Gupta,4,2025-08-01,ACTIVE
320,CUST00320,Riya Kumar,1,2025-12-07,SUSPENDED
321,CUST00321,Rahul Mehta,4,2026-02-10,ACTIVE
322,CUST00322,Aditya Reddy,4,2025-04-01,ACTIVE
323,CUST00323,Aditi Mishra,4,2026-07-29,ACTIVE
324,CUST00324,Rahul Joshi,3,2025-03-02,CLOSED
325,CUST00325,Karthik Joshi,2,2025-03-02,ACTIVE
326,CUST00326,Diya Joshi,4,2026-01-25,ACTIVE
327,CUST00327,Rohan Kumar,2,2026-07-30,ACTIVE
328,CUST00328,Aditi Menon,3,2025-08-07,ACTIVE
329,CUST00329,Rahul Verma,4,2026-04-15,SUSPENDED
330,CUST00330,Kavya Rao,1,2026-02-09,CLOSED
331,CUST00331,Diya Nair,1,2025-03-28,ACTIVE
332,CUST00332,Nandini Gupta,1,2025-12-04,ACTIVE
333,CUST00333,Vivaan Kapoor,1,2026-05-04,ACTIVE
334,CUST00334,Aditya Menon,2,2025-04-07,ACTIVE
335,CUST00335,Aarav Naidu,1,2026-08-15,ACTIVE
336,CUST00336,Rohan Kapoor,2,2025-07-03,ACTIVE
337,CUST00337,Kavya Patel,2,2025-05-29,ACTIVE
338,CUST00338,Aditi Reddy,3,2025-05-05,ACTIVE
339,CUST00339,Ananya Kapoor,2,2025-01-04,ACTIVE
340,CUST00340,Aarav Naidu,1,2025-04-24,ACTIVE
341,CUST00341,Rahul Kapoor,3,2026-01-05,ACTIVE
342,CUST00342,Priya Bose,3,2025-02-07,ACTIVE
343,CUST00343,Meera Sharma,1,2025-10-17,INACTIVE
344,CUST00344,Ananya Nair,2,2025-01-16,ACTIVE
345,CUST00345,Karthik Nair,1,2026-05-08,ACTIVE
346,CUST00346,Varun Bose,2,2025-09-18,ACTIVE
347,CUST00347,Aarav Singh,4,2025-03-07,ACTIVE
348,CUST00348,Nikhil Verma,1,2026-02-02,ACTIVE
349,CUST00349,Kavya Mishra,1,2025-08-15,ACTIVE
350,CUST00350,Nandini Kulkarni,2,2026-05-22,ACTIVE
351,CUST00351,Rahul Kulkarni,1,2026-06-03,ACTIVE
352,CUST00352,Vivaan Sharma,4,2026-03-22,ACTIVE
353,CUST00353,Rahul Iyer,4,2025-12-24,ACTIVE
354,CUST00354,Riya Nair,3,2025-11-09,ACTIVE
355,CUST00355,Diya Iyer,4,2026-04-26,ACTIVE
356,CUST00356,Aarav Gupta,3,2026-02-20,ACTIVE
357,CUST00357,Nandini Rao,4,2025-05-16,ACTIVE
358,CUST00358,Ishita Gupta,1,2026-06-09,ACTIVE
359,CUST00359,Aarav Sharma,2,2025-11-23,ACTIVE
360,CUST00360,Rahul Chauhan,1,2026-05-20,ACTIVE
361,CUST00361,Ananya Singh,4,2026-06-16,ACTIVE
362,CUST00362,Sneha Singh,2,2026-04-21,ACTIVE
363,CUST00363,Arjun Mishra,2,2025-09-30,SUSPENDED
364,CUST00364,Rohan Naidu,4,2025-08-26,ACTIVE
365,CUST00365,Nikhil Iyer,3,2025-04-12,ACTIVE
366,CUST00366,Riya Naidu,1,2026-03-06,SUSPENDED
367,CUST00367,Aditi Bose,2,2025-05-18,ACTIVE
368,CUST00368,Kavya Nair,3,2025-12-19,ACTIVE
369,CUST00369,Varun Chauhan,2,2026-03-08,ACTIVE
370,CUST00370,Aarav Kumar,3,2025-03-17,ACTIVE
371,CUST00371,Aditya Patel,3,2026-04-03,ACTIVE
372,CUST00372,Priya Gupta,4,2026-08-09,ACTIVE
373,CUST00373,Rahul Rao,3,2025-08-29,ACTIVE
374,CUST00374,Vivaan Das,2,2025-08-21,INACTIVE
375,CUST00375,Meera Reddy,4,2025-02-26,ACTIVE
376,CUST00376,Nandini Joshi,4,2026-06-30,ACTIVE
377,CUST00377,Ananya Kulkarni,2,2026-03-31,ACTIVE
378,CUST00378,Arjun Menon,1,2026-02-18,ACTIVE
379,CUST00379,Aarav Bose,1,2025-05-28,ACTIVE
380,CUST00380,Rohan Nair,4,2025-04-17,ACTIVE
381,CUST00381,Vivaan Reddy,2,2025-02-17,INACTIVE
382,CUST00382,Varun Patel,1,2025-02-28,SUSPENDED
383,CUST00383,Aditi Kumar,2,2025-06-22,ACTIVE
384,CUST00384,Rohan Singh,4,2025-07-20,ACTIVE
385,CUST00385,Nandini Nair,1,2025-08-14,ACTIVE
386,CUST00386,Kavya Menon,1,2025-06-08,ACTIVE
387,CUST00387,Ishita Sharma,4,2026-05-28,ACTIVE
388,CUST00388,Meera Naidu,1,2025-04-08,ACTIVE
389,CUST00389,Nikhil Menon,3,2025-03-25,SUSPENDED
390,CUST00390,Varun Rao,4,2025-03-23,ACTIVE
391,CUST00391,Kavya Bose,3,2025-03-25,ACTIVE
392,CUST00392,Arjun Menon,2,2026-04-18,ACTIVE
393,CUST00393,Ishita Chauhan,4,2025-02-17,ACTIVE
394,CUST00394,Aditya Mishra,1,2026-08-11,ACTIVE
395,CUST00395,Aditya Naidu,3,2025-10-02,ACTIVE
396,CUST00396,Aarav Kumar,2,2025-01-22,ACTIVE
397,CUST00397,Aarav Mishra,3,2025-08-27,ACTIVE
398,CUST00398,Meera Reddy,3,2025-12-14,ACTIVE
399,CUST00399,Meera Bose,4,2025-01-23,ACTIVE
400,CUST00400,Rahul Iyer,1,2026-02-14,ACTIVE
401,CUST00401,Diya Nair,1,2025-05-23,ACTIVE
402,CUST00402,Nikhil Joshi,4,2026-05-07,ACTIVE
403,CUST00403,Aditya Kumar,2,2025-02-16,ACTIVE
404,CUST00404,Kavya Kumar,3,2025-04-01,ACTIVE
405,CUST00405,Vivaan Singh,4,2025-09-26,INACTIVE
406,CUST00406,Aditi Rao,3,2026-01-07,ACTIVE
407,CUST00407,Ishita Verma,4,2025-06-10,ACTIVE
408,CUST00408,Diya Iyer,4,2025-07-10,ACTIVE
409,CUST00409,Aarav Rao,2,2026-03-09,ACTIVE
410,CUST00410,Priya Naidu,1,2026-06-05,ACTIVE
411,CUST00411,Priya Kumar,4,2026-06-15,ACTIVE
412,CUST00412,Meera Kapoor,2,2026-07-12,ACTIVE
413,CUST00413,Kavya Gupta,1,2025-01-10,ACTIVE
414,CUST00414,Riya Reddy,1,2026-02-24,ACTIVE
415,CUST00415,Diya Kapoor,1,2025-02-11,ACTIVE
416,CUST00416,Vivaan Kumar,4,2025-05-03,ACTIVE
417,CUST00417,Aditya Kumar,4,2026-04-17,ACTIVE
418,CUST00418,Arjun Rao,1,2026-08-11,ACTIVE
419,CUST00419,Aditya Das,1,2026-06-11,ACTIVE
420,CUST00420,Ishita Mehta,2,2026-05-28,ACTIVE
421,CUST00421,Nandini Iyer,2,2025-10-06,ACTIVE
422,CUST00422,Rohan Singh,4,2026-01-01,ACTIVE
423,CUST00423,Sai Kulkarni,3,2025-07-04,ACTIVE
424,CUST00424,Vivaan Rao,4,2025-05-29,ACTIVE
425,CUST00425,Aarav Mehta,1,2025-08-01,ACTIVE
426,CUST00426,Arjun Iyer,4,2025-05-14,ACTIVE
427,CUST00427,Diya Iyer,2,2026-02-24,ACTIVE
